genre;tempo
country;109.2476762
indie;146.2496177
r&b;100.0049309
blues;108.0878275
pop;109.9977211
reggae;105.8898185
pop;114.1351654
classical;124.79393
pop;124.8288273
classical;125.6360973
metal;140.1943365
folk;123.3826797
blues;108.5434443
rock;141.7041651
r&b;108.6744393
blues;120.6516805
hip-hop;106.8233364
r&b;97.88247151
hip-hop;120.8370952
rock;154.1171105
pop;105.0544766
electronic;115.32106
hip-hop;102.0920928
metal;151.5241145
jazz;101.818116
k-pop;136.6739616
hip-hop;101.5768878
rock;108.4079442
soul;84.85105112
hip-hop;90.1106183
country;141.0514881
gospel;103.2200883
electronic;131.8655871
electronic;131.2395011
rock;124.7889062
soul;93.03596453
classical;91.616925
electronic;120.3149568
pop;131.6166563
metal;142.600728
jazz;129.9928197
electronic;133.6739535
classical;122.534671
rock;151.5587788
classical;108.8613965
punk;187.0661187
classical;114.953389
drum-and-bass;181.437112
folk;124.0237035
metal;157.882072
country;100.0843443
latin;104.1400594
rock;161.8866823
punk;171.7435614
blues;104.4126668
indie;107.6996743
jazz;99.14645299
country;130.7487387
latin;121.5329816
pop;105.7514999
punk;173.8646044
classical;122.8402897
electronic;122.5543666
blues;104.0429304
hip-hop;100.2158635
folk;93.91745995
jazz;110.5076646
pop;130.5573333
drum-and-bass;181.4843621
pop;115.3702925
punk;164.0552719
jazz;128.8856665
electronic;118.3226283
electronic;113.9035428
jazz;126.6055776
blues;136.5323011
pop;103.5169984
metal;157.1332163
rock;152.316197
jazz;116.8602452
folk;136.5188844
pop;117.6771412
rock;102.936641
ambient;87.62445376
pop;141.2181194
indie;129.4840227
pop;151.4846311
hip-hop;69.90074409
pop;111.9562062
country;95.53759265
hip-hop;79.70251918
pop;127.4400716
pop;126.9030785
k-pop;106.0611721
electronic;127.7779953
pop;122.0543692
r&b;79.31423998
classical;94.07249601
indie;129.9577865
latin;100.7350398
rock;142.804166
classical;127.8989446
pop;140.0493694
latin;102.9470944
reggae;88.09164816
hip-hop;122.5461605
rock;124.0270914
pop;138.9807827
country;106.0899238
hip-hop;92.30887234
electronic;118.9266564
folk;124.5685255
jazz;132.950435
electronic;127.9597505
metal;107.5151507
electronic;103.9285585
drum-and-bass;186.6299105
reggae;77.8338902
soul;113.1895328
metal;148.2914718
pop;90.70173057
r&b;117.4145783
r&b;102.6893757
pop;121.3033713
punk;161.1210682
r&b;82.2949052
hip-hop;108.5636336
rock;161.9825801
electronic;140.9766903
classical;115.4870603
ambient;87.10090488
hip-hop;102.5043286
indie;122.9232629
hip-hop;109.8723384
electronic;140.5227342
pop;136.6912622
pop;104.8789362
latin;102.6704377
pop;102.9340837
soul;95.94549963
blues;89.11807881
k-pop;125.873958
metal;148.0150306
jazz;118.6973043
metal;178.0509103
reggae;98.00839483
hip-hop;80.21506611
jazz;158.0797372
metal;147.0930829
k-pop;123.3444322
metal;139.6778859
classical;73.88606287
hip-hop;82.90076315
indie;112.0549976
rock;114.1064667
electronic;122.4932419
metal;145.392457
pop;126.332454
pop;115.0093497
soul;77.39954387
classical;106.2481108
jazz;153.6897067
electronic;134.6406816
jazz;93.07039198
country;108.1078609
electronic;110.4913812
pop;115.5119523
rock;144.1943108
jazz;159.2194248
rock;124.5888333
pop;107.3483379
electronic;145.7050744
pop;143.5814334
rock;159.7229146
indie;99.80392671
k-pop;113.7184074
hip-hop;124.088022
jazz;142.7347512
metal;148.4572721
jazz;113.4746399
metal;164.3401526
jazz;157.8581911
gospel;89.39910848
r&b;105.9398605
ambient;85.67344625
country;137.5292241
k-pop;125.3120951
r&b;104.7968704
punk;141.5077155
country;121.0595092
pop;112.9110179
latin;107.2572011
country;115.5916499
electronic;137.4857012
hip-hop;85.76630074
gospel;100.0674386
rock;137.0711998
rock;117.6400193
soul;120.8516589
hip-hop;95.9203436
indie;103.5521084
jazz;97.98007578
classical;128.438706
latin;96.99086916
latin;109.23388
classical;87.64591594
latin;128.3625506
k-pop;108.9884318
electronic;157.843223
pop;120.383208
classical;114.6965401
country;98.21994509
latin;123.8358871
pop;102.3571756
pop;135.5427593
pop;133.6764286
rock;97.91342158
drum-and-bass;176.68033
ambient;63.51780422
hip-hop;79.28923064
jazz;125.0759333
folk;90.98845665
country;140.6922849
country;102.280378
r&b;55.63563721
pop;111.3124006
gospel;113.9955759
metal;136.9328911
country;123.6464044
pop;152.6187068
folk;95.39491858
electronic;125.9214856
pop;125.8521906
metal;151.2362654
rock;98.5392872
pop;120.0634263
electronic;123.976213
r&b;83.55349227
hip-hop;93.92614354
hip-hop;82.80890033
indie;102.0733426
rock;136.1643586
hip-hop;96.85276194
electronic;148.2563268
hip-hop;73.25927216
r&b;81.95807956
pop;97.95856226
k-pop;147.6330018
jazz;112.1945724
hip-hop;98.27187378
r&b;108.7800693
hip-hop;84.75718522
jazz;146.1713041
pop;78.59751093
hip-hop;90.06303803
electronic;153.0346784
latin;92.09607742
country;104.4700178
drum-and-bass;148.7508419
country;107.4471687
classical;126.7017256
country;115.5340734
jazz;118.3861677
indie;97.32715344
pop;123.876853
classical;121.7128337
drum-and-bass;192.9583919
reggae;68.59287591
pop;110.3170785
k-pop;117.8965821
pop;126.6587829
ambient;80.59798456
hip-hop;108.0686361
rock;132.9651335
jazz;118.408697
pop;134.7243536
rock;130.9302531
folk;109.6305219
pop;132.8404441
k-pop;117.6429051
classical;131.2508684
jazz;115.7425989
k-pop;128.4546542
punk;184.7699683
r&b;96.87641862
soul;99.91155254
k-pop;93.47400652
electronic;121.5925869
pop;136.5076216
rock;124.951051
country;138.0917004
classical;96.56491942
electronic;120.9040389
hip-hop;70.09290447
drum-and-bass;188.6978784
hip-hop;128.2751626
jazz;111.9244678
k-pop;140.7266579
country;124.0609521
folk;84.87082995
blues;121.3722669
jazz;119.7546923
electronic;89.27580703
r&b;95.38744884
metal;178.3667144
electronic;135.6661317
pop;119.7818068
country;98.95995657
country;146.8745939
blues;108.3318124
hip-hop;77.54907844
pop;132.8705506
ambient;95.53518881
pop;111.219927
blues;109.9850676
electronic;125.30253
soul;77.96691177
k-pop;140.5822203
reggae;91.79936802
pop;105.948393
classical;105.9205126
indie;95.4043103
latin;100.2858705
metal;149.2029685
reggae;91.38928516
pop;133.5487146
indie;134.4983014
electronic;144.6303922
classical;121.7630599
drum-and-bass;184.1108026
k-pop;111.2562827
hip-hop;87.80901939
metal;138.3422724
rock;117.7880224
drum-and-bass;197.5544327
rock;126.0198503
country;109.2639208
jazz;105.9314566
reggae;109.9770878
rock;128.2875089
blues;97.06974734
electronic;126.8948105
r&b;72.0160277
hip-hop;92.99165061
pop;109.443263
reggae;94.27115408
metal;156.0530824
country;144.7957551
reggae;101.1431791
country;92.28198506
r&b;96.83866666
blues;106.9266657
indie;112.6316513
reggae;94.83437518
jazz;115.8395286
reggae;93.06678531
indie;145.3804589
rock;134.7509174
hip-hop;93.95528904
electronic;109.9212925
punk;158.1088567
electronic;112.9753977
indie;137.1356598
classical;122.4958409
r&b;94.68100284
indie;129.4822781
metal;140.0603668
rock;105.2610769
indie;118.0987872
k-pop;110.3047967
r&b;76.28026678
k-pop;122.3545366
reggae;116.2087621
rock;124.9973677
gospel;100.8627272
metal;152.0734239
latin;114.2205636
rock;142.9596142
rock;162.062227
folk;106.9439206
blues;112.0096219
metal;145.8713963
gospel;95.52461566
rock;151.192091
electronic;124.1070533
hip-hop;84.00465147
classical;111.2304713
country;105.7690834
ambient;53.14994533
pop;108.7201751
ambient;90.69941116
pop;128.3793403
r&b;90.65796458
pop;107.5192081
country;101.7132611
metal;161.760736
rock;138.1460155
gospel;110.5078055
punk;154.0137845
classical;123.5830221
country;114.0302438
hip-hop;83.60015381
pop;114.4697611
pop;114.4391416
hip-hop;104.7271996
hip-hop;82.38022322
hip-hop;116.4567543
rock;120.7432713
country;128.8975758
classical;89.88583506
country;114.9353755
classical;109.8353876
rock;132.6666008
soul;79.28807103
soul;93.69549772
electronic;94.56020846
pop;107.8252997
pop;106.7763483
pop;104.6091999
pop;87.2230216
k-pop;129.3989146
soul;102.9685848
folk;124.831928
latin;112.1527785
metal;147.5368212
pop;99.37647337
indie;121.9479898
indie;117.214709
folk;118.1637122
soul;140.2397886
k-pop;110.8932711
gospel;114.2530668
classical;120.9632857
classical;129.8311555
pop;122.9608061
drum-and-bass;168.8160885
country;118.6274628
ambient;72.45393866
electronic;152.1769554
folk;122.9491141
r&b;108.3021858
indie;146.1347115
r&b;95.69340895
r&b;96.81320743
k-pop;117.0852886
r&b;59.80334918
country;76.5971937
hip-hop;95.18393188
latin;107.8643402
reggae;75.82307549
ambient;120.2228
electronic;130.695517
pop;123.5116231
hip-hop;105.0969803
pop;93.60321715
r&b;80.28311662
hip-hop;94.22974319
indie;124.3426569
reggae;73.88862072
k-pop;137.9278056
pop;124.1507245
soul;82.27101532
hip-hop;118.4133368
hip-hop;67.52214032
rock;117.3859694
hip-hop;89.32615132
hip-hop;94.05413527
metal;134.0272179
ambient;92.84299398
latin;122.8357693
electronic;126.9453862
country;121.7310864
hip-hop;100.5215208
r&b;98.32464034
folk;123.070298
rock;99.84431235
electronic;159.8240924
rock;115.0529771
folk;108.9398769
drum-and-bass;194.1654046
electronic;136.339246
classical;130.1311531
hip-hop;107.4102309
pop;106.1482458
hip-hop;86.57450127
folk;116.2107761
electronic;119.4112832
hip-hop;56.4329472
folk;107.9226649
r&b;104.2466768
pop;106.9553412
metal;173.0164337
soul;114.8893411
k-pop;144.9862898
soul;121.2484543
pop;129.7546488
metal;124.5476873
r&b;106.9704598
metal;138.0636356
jazz;94.82206085
pop;109.1754608
classical;120.8395905
pop;110.708712
rock;120.5376879
k-pop;115.6530663
electronic;87.70132233
hip-hop;70.74134653
country;123.809195
rock;121.7621887
pop;153.5588657
rock;134.8033597
pop;118.1635214
rock;144.0218984
indie;112.7972051
ambient;50.33909327
k-pop;105.8146674
country;122.6893024
k-pop;123.5449963
classical;135.0081417
ambient;103.0641573
country;123.3378586
rock;138.3887282
electronic;138.590698
hip-hop;82.56367766
rock;115.0438927
latin;111.5105482
r&b;93.87455856
electronic;97.41273043
latin;81.84427004
rock;149.0501355
reggae;89.16114714
folk;109.3662407
electronic;144.0316481
folk;93.16762166
gospel;80.31735738
r&b;104.7970642
ambient;56.49812891
ambient;84.40375244
electronic;127.4311258
r&b;95.57127382
folk;129.7849149
ambient;88.90979006
hip-hop;117.8003155
k-pop;134.2160738
folk;110.8211645
electronic;103.3293287
classical;104.8340072
k-pop;113.9508285
electronic;107.248977
rock;133.7713668
k-pop;104.8826628
rock;136.2682519
rock;129.7156204
pop;130.0788407
pop;132.3333531
latin;127.7582881
hip-hop;104.4299223
soul;80.81050166
electronic;176.553329
metal;150.105823
soul;117.0780427
electronic;136.4616201
latin;110.9492693
rock;123.5349749
country;122.2502063
electronic;165.0801057
soul;89.59839039
classical;124.4642396
r&b;75.80131871
jazz;105.7250664
r&b;114.0012599
pop;108.2509961
pop;138.0485511
pop;108.4606776
rock;124.3580908
jazz;128.1388632
drum-and-bass;157.8996055
rock;126.6286495
k-pop;128.5802267
reggae;69.85844078
k-pop;124.2673987
metal;152.8547531
metal;135.471824
hip-hop;118.499799
rock;130.4091658
jazz;128.105981
r&b;96.76573289
soul;71.97826443
soul;121.0868809
k-pop;153.3097775
classical;109.209484
r&b;97.85746548
gospel;124.5531425
folk;104.2107304
jazz;109.0028976
folk;111.0169841
r&b;79.64498843
indie;138.7671878
pop;140.3457561
ambient;76.23752413
pop;102.4623569
rock;134.7360695
pop;104.1725384
pop;118.2551222
folk;107.960374
pop;110.3566809
pop;107.6146152
r&b;106.9530789
indie;127.5460226
gospel;101.9069395
pop;124.088297
pop;113.6494218
pop;136.9033737
jazz;114.3901149
ambient;84.97211445
classical;90.41554806
classical;66.25439208
indie;93.20388073
pop;105.6617914
metal;159.690632
latin;112.3846682
indie;118.0102113
electronic;131.7258703
rock;101.8268425
hip-hop;86.17159044
electronic;142.6128213
pop;99.89128383
indie;145.9939121
hip-hop;84.51499859
ambient;59.6288866
folk;113.9964416
pop;109.4374716
rock;114.2475871
k-pop;113.2541371
electronic;147.8826741
country;111.1311858
country;114.2942014
gospel;104.7628915
rock;135.6491528
punk;157.7531729
folk;97.02959893
pop;102.6345982
r&b;93.9603161
latin;121.6190246
pop;73.66377543
punk;139.1843794
country;124.5266109
punk;154.0925568
jazz;126.9581115
rock;134.5512086
jazz;114.1026315
electronic;129.7408765
pop;117.5705683
punk;176.9756791
metal;166.8454066
ambient;52.51419573
rock;134.8537394
hip-hop;92.81405752
rock;158.1524905
jazz;109.7875711
pop;114.3509925
electronic;98.17775128
pop;103.4919792
drum-and-bass;195.5587588
pop;103.517964
drum-and-bass;201.5274497
jazz;137.5698796
rock;141.7863515
jazz;106.1280946
reggae;106.3441033
latin;127.0659221
latin;89.2406197
hip-hop;98.3118132
hip-hop;103.9977284
latin;112.918907
jazz;163.9704901
k-pop;127.4836154
soul;97.00098459
hip-hop;116.7001551
metal;130.3994695
metal;139.4196815
hip-hop;98.14198565
pop;116.6734143
pop;107.4806651
k-pop;126.3246689
hip-hop;68.83063079
hip-hop;88.59609927
ambient;68.1467491
electronic;133.0777255
r&b;92.69249225
latin;126.1016012
indie;111.7211579
k-pop;149.4392697
blues;95.37246613
pop;114.1777994
jazz;136.4413492
hip-hop;113.2646557
latin;116.0902682
rock;116.384263
classical;112.6876216
rock;132.1368796
indie;129.7178363
pop;95.20712139
gospel;128.3131822
blues;110.8030842
rock;138.6859599
electronic;142.6085241
pop;123.545994
jazz;120.0565917
metal;144.8797393
country;113.8737047
pop;110.613416
classical;116.2681196
punk;158.0762711
jazz;114.2499517
electronic;126.8292136
pop;114.6889637
rock;136.5042935
country;105.8895381
folk;136.0820544
ambient;75.36092761
pop;107.9832641
rock;128.2694887
drum-and-bass;168.1060594
pop;110.4763737
punk;168.2241686
rock;126.3242464
latin;128.7324726
pop;102.4314651
pop;140.8604789
pop;114.3955942
latin;76.45352281
rock;116.1266731
hip-hop;64.92316024
electronic;140.4649042
k-pop;99.04368856
gospel;95.27907425
classical;103.9969351
hip-hop;68.82041094
k-pop;120.1838899
rock;124.696499
classical;126.156935
electronic;101.7440427
k-pop;125.190479
metal;152.8012481
latin;98.95236342
pop;109.825588
r&b;70.62871428
classical;106.5452637
country;114.8451646
ambient;88.28115459
hip-hop;111.37812
pop;132.9353757
jazz;99.19837338
rock;122.2460811
country;131.0291555
pop;106.9512908
indie;149.6493024
pop;126.2727228
pop;109.7525007
electronic;123.1544321
jazz;109.9462998
hip-hop;93.09794162
pop;111.5407831
pop;122.6297036
classical;103.7684015
r&b;107.2873576
jazz;141.1900954
folk;152.0445904
hip-hop;97.19290212
latin;102.9598788
rock;112.4749998
rock;133.4145364
electronic;124.4693497
rock;116.0684313
folk;101.0291871
electronic;139.1794123
rock;153.348841
pop;109.0524651
reggae;101.2596909
folk;120.1733586
indie;131.4573132
metal;133.7309757
latin;103.6860709
pop;143.4583031
hip-hop;106.022861
reggae;92.30589063
folk;126.9736879
rock;125.9703001
folk;128.1827435
rock;121.2651064
pop;112.5418368
k-pop;95.7263175
soul;68.5928903
indie;139.1694021
soul;82.58130644
hip-hop;104.9688345
jazz;135.6893511
classical;119.2241593
pop;128.2274801
rock;130.5908671
country;131.1246382
hip-hop;112.4615823
drum-and-bass;211.7057482
rock;149.8505294
classical;87.53848512
drum-and-bass;184.5880844
hip-hop;72.40058766
pop;110.9379175
rock;139.5849825
hip-hop;76.69667155
rock;157.8679356
electronic;108.2363439
pop;124.3507401
pop;125.0534531
indie;121.1483809
hip-hop;95.74230754
pop;112.5173105
gospel;99.93067237
pop;106.1844307
reggae;70.10543322
hip-hop;88.38773666
pop;113.0699871
latin;102.5817417
rock;140.4754894
rock;137.2798143
k-pop;123.1546061
hip-hop;105.6412739
hip-hop;140.6652508
k-pop;105.0627334
k-pop;132.0467963
r&b;89.22569476
hip-hop;105.2406299
soul;88.90935671
latin;100.4900846
electronic;107.8845709
rock;131.463238
country;135.0218176
jazz;135.9731511
blues;86.5460371
drum-and-bass;161.8875825
classical;133.358572
rock;149.7827289
hip-hop;95.81069456
electronic;122.098376
ambient;95.18536024
rock;143.7488083
hip-hop;99.32449009
reggae;64.46956048
pop;105.7049046
gospel;99.96598996
country;146.6442273
country;117.7575506
r&b;68.77312771
k-pop;150.3468462
hip-hop;105.5534652
r&b;104.355134
rock;129.6461562
metal;125.3846604
reggae;112.4959554
latin;107.6514962
pop;133.8195881
indie;136.3972507
country;138.7343423
punk;159.4320533
country;86.74740188
electronic;118.2708436
hip-hop;86.79602419
pop;129.0794194
indie;158.4967793
k-pop;97.56240401
soul;99.78810582
electronic;118.5257688
reggae;86.71114139
r&b;90.34275968
reggae;75.00280018
reggae;95.7375947
electronic;118.7997917
rock;124.1162425
pop;131.8456574
classical;92.99992431
metal;144.0826327
pop;116.0736659
rock;128.2514557
drum-and-bass;180.7936079
pop;134.2839104
rock;133.9924219
hip-hop;99.67561846
gospel;111.3467847
reggae;101.0328367
reggae;78.3664528
latin;127.6447707
country;150.4213007
electronic;122.3670813
rock;129.7923561
latin;74.99872896
rock;111.2310741
country;112.2648203
r&b;93.72380255
electronic;105.2316873
punk;180.1871143
classical;105.8870378
r&b;114.6688261
indie;122.7792356
pop;128.4837389
electronic;138.2225369
pop;97.70524809
r&b;107.3391526
electronic;143.849695
metal;143.7489299
hip-hop;88.30997107
r&b;110.5789376
pop;122.4472782
reggae;88.61390239
classical;90.44621681
hip-hop;97.94268927
jazz;117.1091756
indie;118.4239692
rock;122.6877394
rock;113.192552
pop;123.2797474
pop;116.4040967
pop;131.0063775
rock;136.1285194
rock;140.6013575
pop;127.8668389
pop;123.0983001
classical;112.0185523
latin;114.4080247
ambient;72.98638654
pop;96.97023598
punk;147.6960525
k-pop;148.5049928
jazz;108.449627
jazz;142.1771468
r&b;102.5701131
classical;77.51419185
soul;115.9244928
pop;112.1390804
metal;162.9585078
rock;111.6079076
soul;89.90317898
jazz;93.85835704
rock;137.7110841
pop;146.0847477
rock;107.6028002
latin;111.7353757
metal;146.2597087
rock;134.3472395
indie;118.6387009
folk;132.4405256
r&b;83.12069701
jazz;159.3799189
reggae;85.80202231
soul;131.6868933
latin;101.130713
jazz;104.5051982
hip-hop;93.93494631
latin;116.579068
ambient;98.59204857
k-pop;118.6500204
rock;117.5938058
soul;86.40711869
country;120.7906792
country;115.8019252
rock;116.7647241
k-pop;119.5883665
punk;160.7011345
metal;134.1827122
rock;134.786981
indie;126.1678541
r&b;96.35396603
indie;134.4846592
pop;137.3883584
hip-hop;94.89720121
hip-hop;110.2307228
pop;147.1594031
punk;145.9649301
classical;130.1902771
reggae;109.6268756
rock;126.0169217
folk;112.1996666
blues;136.5442394
classical;97.95896923
soul;100.1037918
electronic;120.5545175
